address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"459 BCH 128 ST NEW YORK, NY 11694 ",459,BCH 128 ST,NEW YORK,NY,11694,-73.849288,40.579608,36,081,093401,1
"81-12 249 ST NEW YORK, NY 11426 ",81-12,249 ST,NEW YORK,NY,11426,-73.720498,40.740428,36,081,157101,5
"356 MAPLE ST NEW YORK, NY 11225 ",356,MAPLE ST,NEW YORK,NY,11225,-73.948564,40.660832,36,047,080400,1
"1922 HARING ST NEW YORK, NY 11229 ",1922,HARING ST,NEW YORK,NY,11229,-73.941795,40.604606,36,047,056600,1
"469 EDINBORO RD NEW YORK, NY 10306 ",469,EDINBORO RD,NEW YORK,NY,10306,-74.14296,40.57612,36,085,027900,1
"163-15 84 ST NEW YORK, NY 11414 ",163-15,84 ST,NEW YORK,NY,11414,-73.84634,40.651106,36,081,089201,5
"1172 50 ST NEW YORK, NY 11219 ",1172,50 ST,NEW YORK,NY,11219,-73.995418,40.635957,36,047,022000,3
"87 5 AVE NEW YORK, NY 10465 ",87,5 AVE,NEW YORK,NY,10465,-73.808302,40.823611,36,005,013800,1
"1476 OHM AVE NEW YORK, NY 10465 ",1476,OHM AVE,NEW YORK,NY,10465,-73.821175,40.843629,36,005,027401,2
"19 BOLIVAR ST NEW YORK, NY 10314 ",19,BOLIVAR ST,NEW YORK,NY,10314,-74.119843,40.602611,36,085,017300,1
"60-26 ST FELIX AVE NEW YORK, NY 11385 ",60-26,ST FELIX AVE,NEW YORK,NY,11385,-73.895676,40.696976,36,081,056700,3
"766 HALSEY ST NEW YORK, NY 11233 ",766,HALSEY ST,NEW YORK,NY,11233,-73.92344,40.684714,36,047,038300,3
"5040 INDEPENDENCE AVE NEW YORK, NY 10471 ",5040,INDEPENDENCE AVE,NEW YORK,NY,10471,-73.910531,40.899665,36,005,030701,1
"6631 AVE M NEW YORK, NY 11234 ",6631,AVE M,NEW YORK,NY,11234,-73.915526,40.623019,36,047,069601,1
"1060 OCEAN AVE NEW YORK, NY 11226 ",1060,OCEAN AVE,NEW YORK,NY,11226,-73.958645,40.636546,36,047,051800,1
"108-28 164 PL NEW YORK, NY 11433 ",108-28,164 PL,NEW YORK,NY,11433,-73.789252,40.696463,36,081,025800,2
"599 2 ST NEW YORK, NY 11215 ",599,2 ST,NEW YORK,NY,11215,-73.974811,40.669673,36,047,016500,3
"69-15 EXETER ST NEW YORK, NY 11375 ",69-15,EXETER ST,NEW YORK,NY,11375,-73.850377,40.718656,36,081,072300,2
"112-06 70 RD NEW YORK, NY 11375 ",112-06,70 RD,NEW YORK,NY,11375,-73.839354,40.723582,36,081,075702,2
"8418 17 AVE NEW YORK, NY 11214 ",8418,17 AVE,NEW YORK,NY,11214,-74.00405,40.609659,36,047,018000,1
"160 HULL ST NEW YORK, NY 11233 ",160,HULL ST,NEW YORK,NY,11233,-73.90936,40.679576,36,047,036900,3
"1355 E 66 ST NEW YORK, NY 11234 ",1355,E  66 ST,NEW YORK,NY,11234,-73.91486,40.621409,36,047,069602,2
"720 E 214 ST NEW YORK, NY 10467 ",720,E  214 ST,NEW YORK,NY,10467,-73.864058,40.879437,36,005,038000,3
"13-01 146 PL NEW YORK, NY 11357 ",13-01,146 PL,NEW YORK,NY,11357,-73.819914,40.788534,36,081,103900,4
"69-20 CLOVERDALE BLVD NEW YORK, NY 11364 ",69-20,CLOVERDALE BLVD,NEW YORK,NY,11364,-73.748561,40.744347,36,081,137700,4
"83 SANDYWOOD LN NEW YORK, NY 10309 ",83,SANDYWOOD LN,NEW YORK,NY,10309,-74.217064,40.546059,36,085,020805,2
"22 CALDERA PL NEW YORK, NY 10301 ",22,CALDERA PL,NEW YORK,NY,10301,-74.10048,40.639314,36,085,006700,1
"83 KINGSTON AVE NEW YORK, NY 11213 ",83,KINGSTON AVE,NEW YORK,NY,11213,-73.941345,40.67699,36,047,031100,3
"10530 FLATLANDS 3 ST NEW YORK, NY 11236 ",10530,FLATLANDS 3 ST,NEW YORK,NY,11236,-73.889511,40.644087,36,047,101600,1
"628 55 ST NEW YORK, NY 11220 ",628,55 ST,NEW YORK,NY,11220,-74.010371,40.640429,36,047,010000,2
"397 LOGAN ST NEW YORK, NY 11208 ",397,LOGAN ST,NEW YORK,NY,11208,-73.876462,40.676547,36,047,119200,1
"608 E 2 ST NEW YORK, NY 11218 ",608,E  2 ST,NEW YORK,NY,11218,-73.977171,40.636356,36,047,048600,2
