InputID,TargetID,Distance
POINT (-73.843853 40.680429),POINT (-73.837683 40.681711),540.687038203257
POINT (-74.023377 40.634967),POINT (-74.02551 40.629742),607.633386826599
POINT (-73.981233 40.577422),POINT (-73.975939 40.576127),470.750908701102
POINT (-73.96387 40.768141),POINT (-73.966113 40.764629),433.55396614016
POINT (-73.906006 40.752885),POINT (-73.902984 40.74563),845.118705748982
POINT (-73.90185 40.646654),POINT (-73.899485 40.650573),478.964100507668
POINT (-73.943832 40.746554),POINT (-73.945264 40.747023),131.679066626913
POINT (-73.971046 40.675235),POINT (-73.972367 40.67705),230.426777292085
POINT (-73.928814 40.693342),POINT (-73.927397 40.697857),515.48786510781
POINT (-73.919711 40.698664),POINT (-73.918425 40.703811),581.806405734203
POINT (-73.91924 40.807566),POINT (-73.914042 40.805368),501.955224445646
POINT (-73.834058 40.668234),POINT (-73.835919 40.672097),456.925687966172
POINT (-74.12632 40.56511),POINT (-74.11721 40.57348),1207.89018135303
POINT (-73.98197 40.778453),POINT (-73.982209 40.77344),557.057047861725
POINT (-73.998864 40.619589),POINT (-73.996353 40.624842),620.816242689766
POINT (-73.932942 40.668897),POINT (-73.942161 40.669399),781.498594174707
POINT (-73.883697 40.747659),POINT (-73.882017 40.742454),595.170883247966
POINT (-73.891688 40.678024),POINT (-73.890358 40.67271),600.725212730857
POINT (-73.944053 40.714565),POINT (-73.94067 40.711926),409.387041596504
POINT (-73.867139 40.691324),POINT (-73.87255 40.689941),482.473571653345
POINT (-73.845625 40.754622),POINT (-73.855334 40.75173),880.561983851236
POINT (-73.951822 40.799075),POINT (-73.949625 40.802098),383.498256947965
POINT (-73.964696 40.791642),POINT (-73.961454 40.796092),564.86362286893
POINT (-74.003549 40.655144),POINT (-73.998091 40.660397),743.860709739247
POINT (-73.810708 40.70546),POINT (-73.807969 40.700486),598.896001333595
POINT (-73.872106 40.675377),POINT (-73.86505 40.677044),624.615242356061
POINT (-73.933596 40.849505),POINT (-73.937969 40.851695),441.730263782863
POINT (-74.087368 40.596612),POINT (-74.084087 40.603117),773.899407188258
